community_id,size,top_cross_community_bridge,top3_by_global_bw,top3_by_local_bw,avg_global_bw,max_global_bw,max_local_bw,case_nodes
0,10922,"Kesavananda Bharati Sripadagalvaru ... vs State Of Kerala And Anr on 24 April, 1973","Kesavananda Bharati Sripadagalvaru ... vs State Of Kerala And Anr on 24 April, 1973 | Delhi_Transport_Corporation_vs_D_T_C_Mazdoor_Congress_on_4_September_1990 | Unni_Krishnan_J_P_And_Ors_Etc_Etc_vs_State_Of_Andhra_Pradesh_And_Ors_Etc_Etc_on_4_February_1993","Kesavananda Bharati Sripadagalvaru ... vs State Of Kerala And Anr on 24 April, 1973 | Charan_Lal_Sahu_Etc_Etc_vs_Union_Of_India_And_Ors_on_22_December_1989 | Tata Cellular  v.  Union  of
India6",1.3126e-06,0.0016096401,0.0024589104,1063
2,7913,Kapila Hingorani vs State Of Bihar,"Kapila Hingorani vs State Of Bihar | Bhanu Kumar Jain vs Archana Kumar & Anr | Canara Bank vs Nuclear Power Corporation Of India Ltd. ... on 6 March, 1995","Anuj Jain Interim Resolution ... vs Axis Bank Limited | Allahabad Bank vs Canara Bank & Another on 10 April, 2000 | M/S.Purbanchal Cables & Conductors ... vs Assam State Electricity Board & Anr",1.389e-07,0.0001635851,0.0004334682,1097
4,7289,A_R_Antulay_vs_R_S_Nayak_Anr_on_29_April_1988,A_R_Antulay_vs_R_S_Nayak_Anr_on_29_April_1988 | Kartar_Singh_vs_State_Of_Punjab_on_11_March_1994 | Bachan_Singh_Etc_Etc_vs_State_Of_Punjab_Etc_Etc_on_16_August_1982,"Aloke Nath Dutta & Ors vs State Of West Bengal | Kartar_Singh_vs_State_Of_Punjab_on_11_March_1994 | State Of Maharashtra vs Bharat Chaganlal Raghani & Ors on 11 July, 2001",3.437e-07,0.0003941886,0.0024374571,988
33,4259,Bishna @ Bhiswadeb Mahato & Ors vs State Of West Bengal,Bishna @ Bhiswadeb Mahato & Ors vs State Of West Bengal | State (N.C.T. Of Delhi) vs Navjot Sandhu@ Afsan Guru | Bhanwar Singh & Ors vs State Of M.P,State (N.C.T. Of Delhi) vs Navjot Sandhu@ Afsan Guru | Bhanwar Singh & Ors vs State Of M.P | Bishna @ Bhiswadeb Mahato & Ors vs State Of West Bengal,1.113e-07,0.0001554178,0.0003699789,41
5,4132,Union of India v. Raghubir Singh,Union of India v. Raghubir Singh | Murari_Ors_vs_Union_Of_India_Ors_on_1_November_1996 | Indian Kanoon - Search engine for Indian Law,"Hindustan Petroleum Corpn. Ltd vs Darius Shapur Chenai & Ors | Govt. Of Nct Of Delhi Thr Secretary, Land ... vs M/S. K.L. Rathi Steels Ltd. . | Devinder Singh & Others vs State Of Punjab & Others",6.596e-07,0.0006641851,0.0013833593,597
90,3613,Indian Kanoon - Search engine for Indian Law,Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | The Oriental Insurance Company Limited vs Meena Variyal & Ors,Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | The Oriental Insurance Company Limited vs Meena Variyal & Ors,1.99e-07,0.0001665279,0.002081141,77
125,2850,Indian Kanoon - Search engine for Indian Law,"Indian Kanoon - Search engine for Indian Law | State, Cbi vs Sashi Balasubramanian & Anr | Indian Kanoon - Search engine for Indian Law",Indian Kanoon - Search engine for Indian Law | Gorige Pentaiah vs State Of A.P. & Ors | Indian Kanoon - Search engine for Indian Law,4.14e-08,2.70544e-05,0.0002703652,18
43,2815,Indian Kanoon - Search engine for Indian Law,Indian Kanoon - Search engine for Indian Law | Saroop Singh vs Banto & Ors | Binapani_Paul_vs_Pratima_Ghosh_Ors_on_27_April_2007,P.T. Munichikkanna Reddy & Ors vs Revamma And Ors | L.I.C. Of India vs Anuradha | Md. Mohammad Ali (Dead) By Lrs vs Sri Jagadish Kalita & Ors,6.37e-08,8.53636e-05,0.0007220938,45
129,2745,Indian Kanoon - Search engine for Indian Law,"Indian Kanoon - Search engine for Indian Law | Institute Of Chartered Accountants vs L.K. Ratna & Others on 21 October, 1986 | U.P. State Brassware Corpn. Ltd. & Anr vs Udai Narain Pandey",Hombe Gowda Edn. Trust & Anr vs State Of Karnataka & Ors | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law,5.21e-08,9.0266e-05,0.0003398326,38
11,2614,Anil Kak vs Kumari Sharada Raje & Ors,Anil Kak vs Kumari Sharada Raje & Ors | Shakuntla Devi vs Kamla & Ors | Balai_Chandra_Hazra_vs_Shewdhari_Jadav_on_21_February_1978,Indian Kanoon - Search engine for Indian Law | Bharpur Singh & Ors vs Shamsher Singh | Anil Kak vs Kumari Sharada Raje & Ors,1.708e-07,0.0002472578,0.0024269398,194
94,2411,State_Of_West_Bengal_vs_Kesoram_Industries_Ltd_And_Ors_on_15_January_2004,State_Of_West_Bengal_vs_Kesoram_Industries_Ltd_And_Ors_on_15_January_2004 | Indian Kanoon - Search engine for Indian Law | I_T_C_Limited_vs_Agricultural_Produce_Market_Committee_on_24_January_2002,State_Of_West_Bengal_vs_Kesoram_Industries_Ltd_And_Ors_on_15_January_2004 | Indian Kanoon - Search engine for Indian Law | Gujarat Ambuja Cements Ltd.& Anr vs Union Of India & Anr,4.341e-07,0.0003974276,0.0040815691,30
82,2359,Indian Kanoon - Search engine for Indian Law,Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law,"Delhi Development Authority vs M/S. R.S. Sharma & Co., New Delhi | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law",7.8e-08,6.10838e-05,0.0007127705,27
136,2343,Indian Kanoon - Search engine for Indian Law,"Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Intellectuals Forum, Tirupathi vs State Of A.P. & Ors","Bar Council Of India vs High Court Of Kerala | Intellectuals Forum, Tirupathi vs State Of A.P. & Ors | Karnataka Industrial Areas ... vs Sri C. Kenchappa & Ors",1.657e-07,8.0225e-05,0.0002434857,25
15,2284,"Turner Morrison And Co., Ltd vs Hungerford Investment Trust Ltd on 9 March, 1972","Turner Morrison And Co., Ltd vs Hungerford Investment Trust Ltd on 9 March, 1972 | C.B. Gautam vs Union Of India & Ors on 17 November, 1992 | Escorts_Limited_And_Anr_Etc_Etc_vs_Union_Of_India_And_Ors_on_22_October_1992","Vodafone International Holdings B.V vs Union Of India & Anr on 20 January, 2012 | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law",3.75e-08,1.93513e-05,0.0002388256,231
89,2259,Bombay_Dyeing_Mfg_Co_Ltd_vs_Bombay_Environmental_Action_Group_Ors_on_7_March_2006,Bombay_Dyeing_Mfg_Co_Ltd_vs_Bombay_Environmental_Action_Group_Ors_on_7_March_2006 | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law,Bombay_Dyeing_Mfg_Co_Ltd_vs_Bombay_Environmental_Action_Group_Ors_on_7_March_2006 | Vasu_Dev_Singh_Ors_vs_Union_Of_India_Ors_on_7_November_2006 | Indian Kanoon - Search engine for Indian Law,6.465e-07,0.0005928641,0.0008340718,26
8,2251,"State Of Punjab (Now Haryana) And, Ors vs Amar Singh And Another on 21 January, 1974","State Of Punjab (Now Haryana) And, Ors vs Amar Singh And Another on 21 January, 1974 | Anant Mills Co. Ltd vs State Of Gujarat & Ors on 21 January, 1975 | Nagindas Ramdas vs Dalpatram Ichharam @ Brijram And Ors on 30 November, 1973","Municipal_Corporation_Of_Greater_vs_Kamla_Mills_Ltd_on_11_July_2003 | Asstt. Gen. Manager Central Bank Of ... vs Commissioner Municipal Corporation ... on 9 May, 1995 | Indian Kanoon - Search engine for Indian Law",1.54e-07,0.0001042392,0.0028101378,321
121,2117,Swamy_Atmananda_Ors_vs_Sri_Ramakrishna_Tapovanam_Ors_on_13_April_2005,Swamy_Atmananda_Ors_vs_Sri_Ramakrishna_Tapovanam_Ors_on_13_April_2005 | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law,Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Prem Lala Nahata & Anr. v. Chandi Prasad Sikaria,1.08e-07,0.0001378542,0.0008345154,25
148,2102,Indian Kanoon - Search engine for Indian Law,Indian Kanoon - Search engine for Indian Law | Sumtibai & Others vs Paras Finance Co. Mankanwar W/O ... | Indian Kanoon - Search engine for Indian Law,Indian Kanoon - Search engine for Indian Law | Manjunath Anandappa Urf. Shivappa ... vs Tammanasa & Ors | Indian Kanoon - Search engine for Indian Law,1.032e-07,9.28426e-05,0.0004309524,29
107,2093,Ashok Leland Ltd vs State Of Tamil Nadu And Anr,Ashok Leland Ltd vs State Of Tamil Nadu And Anr | Guruvayur_Devaswom_Managing_Commit_vs_C_K_Rajan_Others_on_14_August_2003 | Jai_Narain_Parasurampuria_Dead_Ors_vs_Pushpa_Devi_Saraf_Ors_on_24_August_2006,Jai_Narain_Parasurampuria_Dead_Ors_vs_Pushpa_Devi_Saraf_Ors_on_24_August_2006 | Arunima Baruah vs Union Of India & Ors | Indian Kanoon - Search engine for Indian Law,8.528e-07,0.0007425207,0.0008512673,31
61,2045,Indian Kanoon - Search engine for Indian Law,Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law,Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law,2.1e-09,2.7816e-06,0.0003597651,24
131,1986,Indian Kanoon - Search engine for Indian Law,Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Nasiruddin And Ors vs Sita Ram Agarwal,Nasiruddin And Ors vs Sita Ram Agarwal | State_Of_Jharkhand_And_Anr_vs_Govind_Singh_on_3_December_2004 | Atma_Ram_vs_Shakuntala_Rani_on_30_August_2005,1.76e-07,0.0001533083,0.0002735451,21
119,1856,Indian Kanoon - Search engine for Indian Law,"Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Heeralal vs Kalyan Mal & Ors on 19 November, 1997",Kailash vs Nanhku & Ors | Gautam Sarup vs Leela Jetly And Ors | Bollepanda P. Poonacha & Anr vs K.M. Madapa,9.4e-09,1.3064e-05,0.0005124056,23
103,1817,Indian Kanoon - Search engine for Indian Law,Indian Kanoon - Search engine for Indian Law | State Of U.P. And Anr vs Johri Mal | State Of Karnataka & Anr vs All India Manufacturers Organization & ...,Indian Kanoon - Search engine for Indian Law | State Of U.P. And Anr vs Johri Mal | Indian Kanoon - Search engine for Indian Law,8.935e-07,0.0011188753,0.0009366391,27
49,1675,Devasahayam (D) By Lrs vs P. Savithramma & Ors,Devasahayam (D) By Lrs vs P. Savithramma & Ors | Indian Kanoon - Search engine for Indian Law | Nalakath_Sainuddin_vs_Koorikadan_Sulaiman_on_8_July_2002,Indian Kanoon - Search engine for Indian Law | Pramod Kumar Jaiswal And Others vs Bibi Husn Bano & Ors | M/S.Sait Nagjee Purushotham & Co.Ltd vs Vimalabai Prabhulal & Ors,6.11e-08,7.91741e-05,0.0007471608,21
124,1579,Bharat Petroleum Corpn. Ltd vs Maddula Ratnavalli & Ors,Bharat Petroleum Corpn. Ltd vs Maddula Ratnavalli & Ors | New India Assurance Company Ltd vs Nusli Neville Wadia And Another | Indian Kanoon - Search engine for Indian Law,K_H_Siraj_vs_High_Court_Of_Kerala_Ors_on_23_May_2006 | Indian Kanoon - Search engine for Indian Law | New India Assurance Company Ltd vs Nusli Neville Wadia And Another,1.795e-07,0.0001547562,0.0009828789,18
3,1463,Kerala_State_Electricity_Board_Etc_vs_S_N_Govinda_Prabhu_Brothers_And_on_26_August_1986,"Kerala_State_Electricity_Board_Etc_vs_S_N_Govinda_Prabhu_Brothers_And_on_26_August_1986 | Graphite India Ltd. And Another vs Durgapur Projects Ltd. And Others on 27 August, 1999 | M.V. Elisabeth And Ors vs Harwan Investment And Trading Pvt. ... on 26 February, 1992","Ghaziabad_Zila_Sahkari_Bank_Ltd_vs_Addl_Labour_Commissioner_Ors_on_17_January_2007 | Ptc India Ltd vs Central Electricity Reg. Comm. ... on 15 March, 2010 | Competition_Commission_Of_India_vs_Steel_Authority_Of_India_Anr_on_9_September_2010",7.87e-08,5.83033e-05,0.0009787817,90
92,1399,Steel Authority Of India Ltd vs Union Of India & Ors,Steel Authority Of India Ltd vs Union Of India & Ors | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law,Indian Kanoon - Search engine for Indian Law | The_Roman_Catholic_Mission_vs_State_Of_Madras_And_Another_on_14_January_1966 | Indian Kanoon - Search engine for Indian Law,1.328e-07,0.0001170203,0.0019971367,10
67,1398,M_S_Motilal_Padampat_Sugar_Mills_Co_vs_State_Of_Uttar_Pradesh_And_Ors_on_12_December_1978,M_S_Motilal_Padampat_Sugar_Mills_Co_vs_State_Of_Uttar_Pradesh_And_Ors_on_12_December_1978 | Union_Of_India_Ors_vs_Godfrey_Philips_India_Ltd_Etc_Etc_on_30_September_1985 | Godawat Pan Masala Products I.P. Ltd. & ... vs Union Of India & Ors,Indian Kanoon - Search engine for Indian Law | Southern_Petrochemical_Industries_Co_vs_Electricity_Inspector_And_E_T_I_O_on_15_May_2007 | Indian Kanoon - Search engine for Indian Law,1.552e-07,7.7062e-05,0.004142192,85
115,1379,"Trust Vs. 

State of Haryana & Ors.","Trust Vs. 

State of Haryana & Ors. | State Of Maharashtra & Anr vs B.E. Billimora And Ors | Collector Of Central Excise, Ahmedabad vs Orient Fabrics Pvt. Ltd",Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law,2.014e-07,0.0001322426,0.0003231663,18
37,1379,State_Of_Punjab_And_Anr_vs_Devans_Modern_Brewaries_Ltd_And_Anr_on_20_November_2003,State_Of_Punjab_And_Anr_vs_Devans_Modern_Brewaries_Ltd_And_Anr_on_20_November_2003 | Indian Kanoon - Search engine for Indian Law | State Of West Bengal And Ors vs Sujit Kumar Rana,State_Of_Punjab_And_Anr_vs_Devans_Modern_Brewaries_Ltd_And_Anr_on_20_November_2003 | A_Venkata_Subba_Rao_vs_State_Of_Andhra_Pradesh_With_Connected_on_14_December_1964 | Indian Kanoon - Search engine for Indian Law,3.232e-07,0.000182968,0.0058896151,18
80,1363,Indian Kanoon - Search engine for Indian Law,Indian Kanoon - Search engine for Indian Law | Islamic Academy Of Education And ... vs State Of Karnataka And Others | Indian Kanoon - Search engine for Indian Law,"Indian Kanoon - Search engine for Indian Law | Usman Gani J. Khatri Of Bombay Etc. Etc vs Cantonment Board And Ors. Etc. Etc on 1 May, 1992 | Kuldeep Singh vs Govt. Of Nct Of Delhi",3.432e-07,0.0002266328,0.0029831007,15
23,1358,Indian Kanoon - Search engine for Indian Law,Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Padma Vs. Hiralal Motilal Desarda and Others,Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law,2.005e-07,0.0002553178,0.000409292,18
6,1341,"Vellore Citizens Welfare Forum vs Union Of India & Ors on 28 August, 1996","Vellore Citizens Welfare Forum vs Union Of India & Ors on 28 August, 1996 | Premium_Granites_vs_State_Of_T_N_on_4_February_1994 | M.I. Builders Pvt. Ltd vs Radhey Shyam Sahu And Others on 26 July, 1999","Indian Kanoon - Search engine for Indian Law | Maharaja Chintamani Saran Nath Sahdeo vs State Of Bihar And Ors on 7 October, 1999 | Narmada Bachao Andolan Vs.

      Union  of India",7.283e-07,0.0001639185,0.0005974608,150
7,1300,Vedica Procon Private Limited vs Balleshwar Greens Private Limited And ...,"Vedica Procon Private Limited vs Balleshwar Greens Private Limited And ... | Fcs Software Solutions Ltd vs La Medical Devices Ltd. & Ors | Katikara Chintamani Dora & Ors vs Guntreddi Annamnaidu & Ors on 11 December, 1973",Kuldip_Chand_Anr_vs_Advocate_General_To_Government_Of_on_14_February_2003 | Radhakanta_Deb_Anr_vs_Commissioner_Of_Hindu_Religious_on_13_February_1981 | i) State of Andhra Pradesh v. A.P. Wakf Board,1.39e-08,4.5293e-06,0.0018721109,91
27,1277,Tata_Consultancy_Services_vs_State_Of_Andhra_Pradesh_on_5_November_2004,Tata_Consultancy_Services_vs_State_Of_Andhra_Pradesh_on_5_November_2004 | Bharat Sanchar Nigam Ltd. & Anr vs Union Of India & Ors | State_Of_A_P_vs_National_Thermal_Power_Corpn_Ltd_Ors_on_22_April_2002,Bharat Sanchar Nigam Ltd. & Anr vs Union Of India & Ors | Tata_Consultancy_Services_vs_State_Of_Andhra_Pradesh_on_5_November_2004 | Imagic Creative Pvt. Ltd vs Commissioner Of Commercial Taxes & Ors,1.935e-07,0.0001130246,0.0036003922,12
118,1126,"State of Karnataka vs. Vishwabharathi House Building 
Coop. Society and others","State of Karnataka vs. Vishwabharathi House Building 
Coop. Society and others | Indian Kanoon - Search engine for Indian Law | Kishore Lal vs Chairman, Employees State Insurance ...","Indian Kanoon - Search engine for Indian Law | Poonam Verma vs Ashwin Patel & Ors on 10 May, 1996 | Indian Kanoon - Search engine for Indian Law",3.532e-07,0.000211066,0.0057295374,10
138,1122,Indian Kanoon - Search engine for Indian Law,Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Carona Ltd vs M/S Parvathy Swaminathan & Sons,Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law,3.591e-07,0.0001794151,0.0015,9
139,1079,Secretary v.   Bipin Kumar and Anr.,"Secretary v.   Bipin Kumar and Anr. | Indian Kanoon - Search engine for Indian Law | R. Sai Bharathi Vs. J. Jayalalitha & 
Ors. [JT",Indian Kanoon - Search engine for Indian Law | Lucknow Development Authority vs Krishna Gopal Lahoti And Ors | Deputy_Director_Land_Acquisition_vs_Malla_Atchinaidu_And_Ors_on_12_December_2006,1.6e-09,7.334e-07,0.0012534819,14
123,1062,Ekta Shakti Foundation vs Govt. Of Nct Of Delhi,Ekta Shakti Foundation vs Govt. Of Nct Of Delhi | K.K. Bhalla vs State Of M.P. & Ors | Indian Kanoon - Search engine for Indian Law,T.Lakshmipathi & Ors vs P.Nithyananda Reddy & Ors | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law,2.06e-07,5.48835e-05,0.0008773585,17
13,1059,Zee Telefilms Ltd. & Anr vs Union Of India & Ors,Zee Telefilms Ltd. & Anr vs Union Of India & Ors | Pradeep_Kumar_Biswas_vs_Indian_Institute_Of_Chemical_Biology_on_16_April_2002 | Greater Bombay Co-Op. Bank Ltd vs M/S United Yarn Tex. Pvt. Ltd. & Ors,Zee Telefilms Ltd. & Anr vs Union Of India & Ors | Pradeep_Kumar_Biswas_vs_Indian_Institute_Of_Chemical_Biology_on_16_April_2002 | Indian Kanoon - Search engine for Indian Law,4.941e-07,0.0002109248,0.0040807316,14
133,1057,Indian Kanoon - Search engine for Indian Law,Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | M.C. Mehta vs Union Of India & Ors,S.N. Chandrashekar And Anr vs State Of Karnataka And Ors | Indian Kanoon - Search engine for Indian Law | M.C. Mehta vs Union Of India & Ors,2.114e-07,0.000128597,0.0008625592,7
18,1012,Indian Kanoon - Search engine for Indian Law,Indian Kanoon - Search engine for Indian Law | M.P. Vidyut Karamchari Sangh vs M.P. Electricity Board | Rameshwar_Prasad_Ors_vs_Union_Of_India_Anr_on_24_January_2006,Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | M/S Maruti Udyog Ltd vs Ram Lal & Ors,2.659e-07,7.18563e-05,0.0061485149,17
