community_id,size,top_node_label,top_node_global_pr,top5_by_global_pr,case_nodes,ref_nodes
0,10922,"Maharashtra State Board of Secondary 
and Higher Secondary Education and another v. Paritosh Bhupesh 
Kurmarsheth and others",0.00084626,"Maharashtra State Board of Secondary 
and Higher Secondary Education and another v. Paritosh Bhupesh 
Kurmarsheth and others | Charan_Lal_Sahu_Etc_Etc_vs_Union_Of_India_And_Ors_on_22_December_1989 | Miss Sundarambai v. Government of Goa | India Act | Art. 32",1063,9859
2,7913,the Code of Civil Procedure,0.00209625,"the Code of Civil Procedure | Miheer H. Mafatlal vs Mafatlal Industries Ltd on 11 September, 1996 | Tirumala Tirupati Devasthanams vs K.M. Krishnaiah on 2 March, 1998 | S.100 | N.	 Balakrishnan v.  M.Krishnamurthy",1097,6816
4,7289,"State of Haryana and Ors. v. Ch. Bhajan Lal and Ors., J.T.",0.00096861,"State of Haryana and Ors. v. Ch. Bhajan Lal and Ors., J.T. | Code of Criminal Procedure | G. Sagar
Suri &	Anr. vs. State of U.P. & Ors. | Indian Penal Code | Section 302",988,6301
33,4259,Indian Kanoon - Search engine for Indian Law,0.0008689,Indian Kanoon - Search engine for Indian Law | State (N.C.T. Of Delhi) vs Navjot Sandhu@ Afsan Guru | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law,41,4218
5,4132,Article 226,0.00101262,"Article 226 | Indian Kanoon - Search engine for Indian Law | Hindustan Petroleum Corpn. Ltd vs Darius Shapur Chenai & Ors | Land Acquisition Act, 1894 | Byram Pestonji Gariwala v. Union Bank of India",597,3535
90,3613,Indian Kanoon - Search engine for Indian Law,0.00138817,"Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | New
India Assurance Compay vs. Satpal Singh and Ors. | The Oriental Insurance Company Limited vs Meena Variyal & Ors | M/S. National Insurance Co. Ltd vs Baljit Kaur And Ors",77,3536
125,2850,Indian Kanoon - Search engine for Indian Law,0.00113896,Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Gorige Pentaiah vs State Of A.P. & Ors,18,2832
43,2815,"Bondar Singh 
& Ors. vs. Nihal Singh & Ors.",0.00078286,"Bondar Singh 
& Ors. vs. Nihal Singh & Ors. | L.I.C. Of India vs Anuradha | P.T. Munichikkanna Reddy & Ors vs Revamma And Ors | Indian Kanoon - Search engine for Indian Law | Lalchand Marwari v. Ramrup Gir (LIII I.A.",45,2770
129,2745,G.M. Tank vs State Of Gujarat & Anr,0.00080597,G.M. Tank vs State Of Gujarat & Anr | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | G.M. Tank vs State Of Gujarat & Anr,38,2707
11,2614,"Sridevi & Ors vs. 
Jayaraja Shetty & Ors",0.00066769,"Sridevi & Ors vs. 
Jayaraja Shetty & Ors | Indian Kanoon - Search engine for Indian Law | Bharpur Singh & Ors vs Shamsher Singh | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law",194,2420
94,2411,"Jindal Stainless Ltd. & 
Anr. v. State of Haryana & Ors. [JT",0.00093239,"Jindal Stainless Ltd. & 
Anr. v. State of Haryana & Ors. [JT | Gujarat Ambuja Cements Ltd.& Anr vs Union Of India & Anr | Indian Kanoon - Search engine for Indian Law | State_Of_West_Bengal_vs_Kesoram_Industries_Ltd_And_Ors_on_15_January_2004 | Indian Kanoon - Search engine for Indian Law",30,2381
82,2359,Indian Kanoon - Search engine for Indian Law,0.00089147,"Indian Kanoon - Search engine for Indian Law | Delhi Development Authority vs M/S. R.S. Sharma & Co., New Delhi | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law",27,2332
136,2343,Indian Kanoon - Search engine for Indian Law,0.00080678,"Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Intellectuals Forum, Tirupathi vs State Of A.P. & Ors | Union_Public_Service_Commission_vs_Girish_Jayanti_Lal_Vaghela_Others_on_2_February_2006",25,2318
15,2284,Indian Kanoon - Search engine for Indian Law,0.00037726,"Indian Kanoon - Search engine for Indian Law | Shrimant Padmaraje R. Kadambande vs Commissioner Of Income Tax, Pune on 22 April, 1992 | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | On Board  Circular Collector  of Central  Excise, Patna
vs. Usha  Martin Industries",231,2053
89,2259,Indian Kanoon - Search engine for Indian Law,0.00088946,Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law,26,2233
8,2251,"B.R. Mehta vs Smt. Atma Devi & Ors on 2 September, 1987",0.00080108,"B.R. Mehta vs Smt. Atma Devi & Ors on 2 September, 1987 | Sri Ram Pasricha v. Jagannath and Ors. | Dhannalal Vs. Kalawatibai & Ors. | Indian Kanoon - Search engine for Indian Law | Municipal_Corporation_Of_Greater_vs_Kamla_Mills_Ltd_on_11_July_2003",321,1930
121,2117,Indian Kanoon - Search engine for Indian Law,0.00087697,"Indian Kanoon - Search engine for Indian Law | Popat And Kotecha Property vs State Bank Of India Staff Association | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | N.V. Srinivasa 
Murthy v. Mariyamma",25,2092
148,2102,Indian Kanoon - Search engine for Indian Law,0.00086622,Indian Kanoon - Search engine for Indian Law | Sumtibai & Others vs Paras Finance Co. Mankanwar W/O ... | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law,29,2073
107,2093,Indian Kanoon - Search engine for Indian Law,0.00099309,Indian Kanoon - Search engine for Indian Law | Guruvayur_Devaswom_Managing_Commit_vs_C_K_Rajan_Others_on_14_August_2003 | Ashok Leland Ltd vs State Of Tamil Nadu And Anr | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law,31,2062
61,2045,Indian Kanoon - Search engine for Indian Law,0.00078221,Indian Kanoon - Search engine for Indian Law | Pushpa Devi Bhagat (D) Th. Lr.Smt. ... vs Rajinder Singh & Ors | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law,24,2021
131,1986,Indian Kanoon - Search engine for Indian Law,0.0006882,Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law,21,1965
119,1856,Indian Kanoon - Search engine for Indian Law,0.0007399,"Indian Kanoon - Search engine for Indian Law | Kailash vs Nanhku & Ors | Usha Balashaheb Swami & Ors vs Kiran Appaso Swami & Ors | Indian Kanoon - Search engine for Indian Law | Bikram Singh & Ors.
Vs. Ram Baboo & Ors.",23,1833
103,1817,Indian Kanoon - Search engine for Indian Law,0.00066423,Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | State Of U.P. And Anr vs Johri Mal | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law,27,1790
49,1675,Indian Kanoon - Search engine for Indian Law,0.00075078,Indian Kanoon - Search engine for Indian Law | M/S.Sait Nagjee Purushotham & Co.Ltd vs Vimalabai Prabhulal & Ors | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law,21,1654
124,1579,K_H_Siraj_vs_High_Court_Of_Kerala_Ors_on_23_May_2006,0.00077222,K_H_Siraj_vs_High_Court_Of_Kerala_Ors_on_23_May_2006 | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | New India Assurance Company Ltd vs Nusli Neville Wadia And Another | Indian Kanoon - Search engine for Indian Law,18,1561
3,1463,Indian Kanoon - Search engine for Indian Law,0.00038304,"Indian Kanoon - Search engine for Indian Law | Ghaziabad_Zila_Sahkari_Bank_Ltd_vs_Addl_Labour_Commissioner_Ors_on_17_January_2007 | The_Jumma_Masjid_Mercara_vs_Kodimaniandra_Deviah_on_11_January_1962 | Ajit Kumar Nag v. General Manager, Indian Oil Corporation Ltd. | Managing   Director,	 ECIL,	 Hyderabad   v.	  B.
Karunakarl42",90,1373
92,1399,Indian Kanoon - Search engine for Indian Law,0.00106305,Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Workmen_Of_Nilgiri_Coop_Mkt_Society_vs_State_Of_Tamil_Nadu_Ors_on_5_February_2004 | Steel Authority Of India Ltd vs Union Of India & Ors,10,1389
67,1398,Indian Kanoon - Search engine for Indian Law,0.00034006,"Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Smt. Sushila Rani vs. Commissioner of Income Tax &
Anr. | Union Of India vs Sampat Raj Dugar And Anr on 21 January, 1992",85,1313
37,1379,State_Of_Punjab_And_Anr_vs_Devans_Modern_Brewaries_Ltd_And_Anr_on_20_November_2003,0.0008427,State_Of_Punjab_And_Anr_vs_Devans_Modern_Brewaries_Ltd_And_Anr_on_20_November_2003 | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law,18,1361
115,1379,Indian Kanoon - Search engine for Indian Law,0.00062417,"Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Union Of India & Ors vs Krishan Lal Arneja & Ors | Indian Kanoon - Search engine for Indian Law | Trust Vs. 

State of Haryana & Ors.",18,1361
80,1363,Indian Kanoon - Search engine for Indian Law,0.00082282,Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Kuldeep Singh vs Govt. Of Nct Of Delhi,15,1348
23,1358,Indian Kanoon - Search engine for Indian Law,0.00044438,"Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Om Prakash Gupta Vs. Ranbir B. Goyal (Civil
Appeal No.5460 | S.B. Bhattacharjee vs S.D. Majumdar & Ors | B_L_Sreedhar_Ors_vs_K_M_Munireddy_Dead_And_Ors_on_5_December_2002",18,1340
6,1341,T.N. Godavaraman Thirumulkpad v. Union of India & Ors,0.00046447,"T.N. Godavaraman Thirumulkpad v. Union of India & Ors | State Of U.P. & Ors vs Maharaja Dharmander Prasad Singh Etc on 17 January, 1989 | M.C. Mehta vs Union Of India & Ors on 30 December, 1996 | Ambica_Quarry_Works_Anr_vs_State_Of_Gujarat_Ors_on_11_December_1986 | Narmada Bachao Andolan Vs.

      Union  of India",150,1191
7,1300,Kuldip_Chand_Anr_vs_Advocate_General_To_Government_Of_on_14_February_2003,0.00027279,"Kuldip_Chand_Anr_vs_Advocate_General_To_Government_Of_on_14_February_2003 | State_Of_Tamil_Nadu_Etc_vs_Ramalinga_Samigal_Madam_Etc_on_1_May_1985 | Commissioner_Of_Income_Tax_Bombay_vs_Ahmedbhai_Umarbhai_Co_Bombay_on_4_May_1950 | Muddada_Chayana_vs_Karnam_Narayana_And_Anr_Etc_on_14_February_1979 | Vanagiri Sri Selliamman Ayyanar 
Uthirasomasundareswarar Temple vs. Rajanga Asari",91,1209
27,1277,Bharat Sanchar Nigam Ltd. & Anr vs Union Of India & Ors,0.0006668,Bharat Sanchar Nigam Ltd. & Anr vs Union Of India & Ors | Tata_Consultancy_Services_vs_State_Of_Andhra_Pradesh_on_5_November_2004 | Indian Kanoon - Search engine for Indian Law | State_Of_A_P_vs_National_Thermal_Power_Corpn_Ltd_Ors_on_22_April_2002 | Imagic Creative Pvt. Ltd vs Commissioner Of Commercial Taxes & Ors,12,1265
118,1126,Indian Kanoon - Search engine for Indian Law,0.00100349,"Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | State of Karnataka vs. Vishwabharathi House Building 
Coop. Society and others | Indian Kanoon - Search engine for Indian Law",10,1116
138,1122,Indian Kanoon - Search engine for Indian Law,0.00074234,Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law,9,1113
139,1079,Indian Kanoon - Search engine for Indian Law,0.00048603,"Indian Kanoon - Search engine for Indian Law | Secretary v.   Bipin Kumar and Anr. | Indian Kanoon - Search engine for Indian Law | R. Sai Bharathi Vs. J. Jayalalitha & 
Ors. [JT | Vidadala Harinadhababu vs. N.T. Ramarao",14,1065
123,1062,T.Lakshmipathi & Ors vs P.Nithyananda Reddy & Ors,0.00108257,"T.Lakshmipathi & Ors vs P.Nithyananda Reddy & Ors | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Ekta Shakti Foundation vs Govt. Of Nct Of Delhi | Kastha Niwarak Grahnirman Sahakari ... vs President, Indore Development ...",17,1045
13,1059,Pradeep_Kumar_Biswas_vs_Indian_Institute_Of_Chemical_Biology_on_16_April_2002,0.00081491,"Pradeep_Kumar_Biswas_vs_Indian_Institute_Of_Chemical_Biology_on_16_April_2002 | Greater Bombay Co-Op. Bank Ltd vs M/S United Yarn Tex. Pvt. Ltd. & Ors | Zee Telefilms Ltd. & Anr vs Union Of India & Ors | Indian Kanoon - Search engine for Indian Law | Union of
India V. A.V. Narasimhalu",14,1045
133,1057,Indian Kanoon - Search engine for Indian Law,0.00081481,Indian Kanoon - Search engine for Indian Law | Raju S. Jethmalani  v. State of Maharashtra | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | S.N. Chandrashekar And Anr vs State Of Karnataka And Ors,7,1050
18,1012,Indian Kanoon - Search engine for Indian Law,0.00076966,Indian Kanoon - Search engine for Indian Law | Rameshwar_Prasad_Ors_vs_Union_Of_India_Anr_on_24_January_2006 | M/S Maruti Udyog Ltd vs Ram Lal & Ors | Indian Kanoon - Search engine for Indian Law | Madhya_Pradesh_Special_Police_vs_State_Of_Madhya_Pradesh_Ors_on_5_November_2004,17,995
134,992,Indian Kanoon - Search engine for Indian Law,0.00084716,Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | South_Eastern_Coalfields_Ltd_vs_State_Of_M_P_And_Ors_on_13_October_2003 | Indian Kanoon - Search engine for Indian Law | State_Of_West_Bengal_Ors_vs_Karan_Singh_Binayak_Ors_on_20_March_2002,9,983
75,950,Indian Kanoon - Search engine for Indian Law,0.00078184,Indian Kanoon - Search engine for Indian Law | Canara Bank vs V.K. Awasthy | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law,11,939
70,904,Indian Kanoon - Search engine for Indian Law,0.00065076,Indian Kanoon - Search engine for Indian Law | Uttaranchal Forest Development Corpn. ... vs Jabar Singh And Ors | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law,25,879
153,885,Indian Kanoon - Search engine for Indian Law,0.00090392,Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law,7,878
16,853,State_Of_H_P_And_Ors_vs_Gujarat_Ambuja_Cement_Ltd_And_Anr_on_18_July_2005,0.00082125,State_Of_H_P_And_Ors_vs_Gujarat_Ambuja_Cement_Ltd_And_Anr_on_18_July_2005 | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | R.C. Tobacco Pvt. Ltd. & Anr. Etc vs Union Of India & Ors,15,838
34,849,Union_Of_India_vs_Pramod_Gupta_D_By_Lrs_Ors_on_7_September_2005,0.00109551,Union_Of_India_vs_Pramod_Gupta_D_By_Lrs_Ors_on_7_September_2005 | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Umesh Kumar Nagpal  Vs. State of Haryana | Union Bank of India & Ors.  Vs.  M.T. Latheesh,12,837
102,849,Nair Service Society vs State Of Kerala,0.00040546,"Nair Service Society vs State Of Kerala | Indian Kanoon - Search engine for Indian Law | Deewan Singh & Ors. Ã Appellants vs Rajendra Pd. Ardevi & Ors. Ã Respondents | Indian Kanoon - Search engine for Indian Law | Dadu Dayalu Mahasabha, Jaipur (Trust) vs Mahant Ram Niwas & Anr",13,836
101,819,Indian Kanoon - Search engine for Indian Law,0.00083591,"Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | State of Andhra Pradesh vs. P.V. Narayana | Sailendra 
Nath Bose vs. State of Bihar",9,810
59,789,Indian Kanoon - Search engine for Indian Law,0.00054521,Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | S_Amarjit_Singh_Kalra_Dead_Ram_vs_Smt_Pramod_Gupta_Dead_By_L_Rs_Ors_on_17_December_2002 | Subal Paul vs Malina Paul And Anr,13,776
78,783,J_K_Industries_Ltd_And_Anr_vs_Union_Of_India_Uoi_And_Ors_on_19_November_2007,0.00089176,"J_K_Industries_Ltd_And_Anr_vs_Union_Of_India_Uoi_And_Ors_on_19_November_2007 | The_State_Of_West_Bengal_vs_Kesoram_Industries_Ltd_And_Ors_on_15_January_2004 | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Chainrup Sampatram vs Commissioner Of Income-Tax,West ... on 9 October, 1953",12,771
141,781,Indian Kanoon - Search engine for Indian Law,0.00124958,Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Avas Vikas Sansthan & Anr vs Avas Vikas Sansthan Engineers Assn. & ... | Popular Muthiah vs State Represented By Inspector Of ...,6,775
