overall_rank,id,label,year,url,node_type,community_id,subcommunity_id,composite_score,super_landmark,global_pagerank,pr_pct,local_betweenness,lpr_pct,global_betweenness,bw_pct,bridge_score,in_degree,out_degree,community_size
3010,862329,Kantendra_Jaymukhlal_Majumdar_vs_Collector_Of_Baroda_And_Anr_on_25_February_1965,1965.0,https://indiankanoon.org/doc/862329/,case,-1,C-1,0.328786,False,3.67e-06,0.21573076195878238,0.0,0.40669313669880885,0.0,0.40234448856116467,0.0,0,0,136
3013,1356211,Hukumchand_Gulabchand_Jain_vs_Fulchand_Lakhmichand_Jain_And_Others_on_16_February_1965,1965.0,https://indiankanoon.org/doc/1356211/,case,-1,C-1,0.328786,False,3.67e-06,0.21573076195878238,0.0,0.40669313669880885,0.0,0.40234448856116467,0.0,0,0,136
3014,1163900,Tekan_And_Others_vs_Ganeshi_on_22_February_1962,1962.0,https://indiankanoon.org/doc/1163900/,case,-1,C-1,0.328786,False,3.67e-06,0.21573076195878238,0.0,0.40669313669880885,0.0,0.40234448856116467,0.0,0,0,136
3016,37474,"Jose Da Costa & Another vs Bascora Sadashiva Sinai Narcornim & Anr on 7 April, 1976",1976.0,https://indiankanoon.org/doc/37474/,case,-1,C-1,0.328786,False,3.67e-06,0.21573076195878238,0.0,0.40669313669880885,0.0,0.40234448856116467,0.0,0,0,136
3017,1714640,K_V_Narayanaswami_Iyer_vs_K_V_Ramakrishna_Iyer_And_Ors_on_26_March_1964,1964.0,https://indiankanoon.org/doc/1714640/,case,-1,C-1,0.328786,False,3.67e-06,0.21573076195878238,0.0,0.40669313669880885,0.0,0.40234448856116467,0.0,0,0,136
3018,1044034,"Gulab Chand Sharma vs Saraswati Devi And Anr. on 14 December, 1976",1976.0,https://indiankanoon.org/doc/1044034/,case,-1,C-1,0.328786,False,3.67e-06,0.21573076195878238,0.0,0.40669313669880885,0.0,0.40234448856116467,0.0,0,0,136
3019,703762,"Collector Of 24 Parganas And Ors. vs Lalith Mohan Mullick And Ors. on 10 March, 1988",1988.0,https://indiankanoon.org/doc/703762/,case,-1,C-1,0.328786,False,3.67e-06,0.21573076195878238,0.0,0.40669313669880885,0.0,0.40234448856116467,0.0,0,0,136
3021,1585924,Gulraj_Singh_vs_Mota_Singh_on_13_March_1964,1964.0,https://indiankanoon.org/doc/1585924/,case,-1,C-1,0.328786,False,3.67e-06,0.21573076195878238,0.0,0.40669313669880885,0.0,0.40234448856116467,0.0,0,0,136
3023,1688111,D_S_Chellammal_Anni_vs_Nasanan_Samban_on_13_March_1964,1964.0,https://indiankanoon.org/doc/1688111/,case,-1,C-1,0.328786,False,3.67e-06,0.21573076195878238,0.0,0.40669313669880885,0.0,0.40234448856116467,0.0,0,0,136
3024,1428311,"Rajagopal Pillai And Anr. vs Pakkiam Ammal And Ors. on 6 March, 1975",1975.0,https://indiankanoon.org/doc/1428311/,case,-1,C-1,0.328786,False,3.67e-06,0.21573076195878238,0.0,0.40669313669880885,0.0,0.40234448856116467,0.0,0,0,136
1,299215,Charan_Lal_Sahu_Etc_Etc_vs_Union_Of_India_And_Ors_on_22_December_1989,1989.0,https://indiankanoon.org/doc/299215/,case,0,C0_S2,0.998024,True,0.00052306,0.9990546417092078,0.001430942,0.9967857818113065,0.0003146784,0.9977311401020987,0.0003035917,22,99,10922
5,884513,"Tata Cellular  v.  Union  of
India6",1994.0,https://indiankanoon.org/doc/884513/,case,0,C0_S9,0.991927,True,0.00020073,0.9875212705615428,0.0014172886,0.9964076384949896,0.0001606171,0.9937606352807714,0.0001496362,41,33,10922
6,268805,Delhi_Transport_Corporation_vs_D_T_C_Mazdoor_Congress_on_4_September_1990,1990.0,https://indiankanoon.org/doc/268805/,case,0,C0_S13,0.991473,True,0.00020765,0.988466628852335,0.0004122422,0.9848742673473246,0.0006469684,0.9996218566836831,0.0006437744,33,205,10922
8,703393,"The Ahmedabad St. Xaviers College ... vs State Of Gujarat & Anr on 26 April, 1974",1974.0,https://indiankanoon.org/doc/703393/,case,0,C0_S4,0.989176,True,0.00020003,0.9873321989033844,0.0003599996,0.9827944791075818,0.0002032639,0.9958404235205143,0.0002004747,27,153,10922
9,1775396,Unni_Krishnan_J_P_And_Ors_Etc_Etc_vs_State_Of_Andhra_Pradesh_And_Ors_Etc_Etc_on_4_February_1993,1993.0,https://indiankanoon.org/doc/1775396/,case,0,C0_S4,0.989157,True,0.00016952,0.9835507657402155,0.0003815177,0.983739837398374,0.0005550669,0.9994327850255247,0.000552111,20,153,10922
10,257876,"Kesavananda Bharati Sripadagalvaru ... vs State Of Kerala And Anr on 24 April, 1973",1973.0,https://indiankanoon.org/doc/257876/,case,0,C0_S12,0.988987,True,0.00012159,0.9735299678578181,0.0024589104,0.998298355076574,0.0016096401,1.0,0.0015905889,84,563,10922
11,1130169,"State Of Kerala & Anr vs N. M. Thomas & Ors on 19 September, 1975",1975.0,https://indiankanoon.org/doc/1130169/,case,0,C0_S4,0.988731,True,0.0001293,0.9757988277557195,0.0012084772,0.9947059935715636,0.0004899525,0.9992437133673663,0.0004805895,26,53,10922
12,426032,"Sukhdev Singh, Oil & Natural Gas ... vs Bhagat Ram, Association Of Clause Ii. ... on 21 February, 1975",1975.0,https://indiankanoon.org/doc/426032/,case,0,C0_S9,0.987899,True,0.00027273,0.9941387785970883,0.0002115766,0.9757988277557195,9.71317e-05,0.9894119871431273,9.54924e-05,7,105,10922
17,1281050,Ramana_Dayaram_Shetty_vs_The_International_Airport_Authority_Of_on_4_May_1979,1979.0,https://indiankanoon.org/doc/1281050/,case,0,C0_S9,0.984959,True,0.00028162,0.9947059935715636,0.0001466848,0.9697485346946493,6.34787e-05,0.9846851956891662,6.23422e-05,63,1,10922
18,63489929,Ashoka_Kumar_Thakur_vs_Union_Of_India_Ors_on_10_April_2008,2008.0,https://indiankanoon.org/doc/63489929/,case,0,C0_S4,0.983494,True,0.00010552,0.9672906031385895,0.0013607429,0.9958404235205143,0.000133977,0.9931934203062961,0.0001234342,64,87,10922
2896,325228,"Svenska Handelsbanken vs Indian Charge Chrome (Dayal, J.) on 15 October, 1993",1993.0,https://indiankanoon.org/doc/325228/,case,1,C1,0.422793,False,3.7e-06,0.45074683304972585,0.0,0.40669313669880885,0.0,0.40234448856116467,0.0,1,14,51
3020,143123885,"Commnr.,Customs & Cent.Excise ... vs M/S. Roofit Industries Ltd on 23 April, 2015",2015.0,https://indiankanoon.org/doc/143123885/,case,1,C1,0.328786,False,3.67e-06,0.21573076195878238,0.0,0.40669313669880885,0.0,0.40234448856116467,0.0,0,12,51
3623,147930952,"Rajratan Babulal Agarwal vs Solartex India Pvt. Ltd. on 13 October, 2022",2022.0,https://indiankanoon.org/doc/147930952/,case,1,C1,0.328786,False,3.67e-06,0.21573076195878238,0.0,0.40669313669880885,0.0,0.40234448856116467,0.0,0,34,51
4138,1714305,"Mahabir Commercial Co. Ltd vs C.I.T. West Bengal, Calcutta on 8 September, 1972",1972.0,https://indiankanoon.org/doc/1714305/,case,1,C1,0.328786,False,3.67e-06,0.21573076195878238,0.0,0.40669313669880885,0.0,0.40234448856116467,0.0,0,10,51
4499,1799382,"Marwar Tent Factory vs Union Of India And Ors on 9 November, 1989",1989.0,https://indiankanoon.org/doc/1799382/,case,1,C1,0.328786,False,3.67e-06,0.21573076195878238,0.0,0.40669313669880885,0.0,0.40234448856116467,0.0,0,11,51
26,677551,"Allahabad Bank vs Canara Bank & Another on 10 April, 2000",2000.0,https://indiankanoon.org/doc/677551/,case,2,C2_S43,0.980204,True,0.00018567,0.9858196256381169,0.0002405933,0.9784458309699376,3.53712e-05,0.9750425411230856,3.43928e-05,15,81,7913
57,654172,"Secretary Irrigation Department ... vs G.C. Roy on 12 December, 1991",1991.0,https://indiankanoon.org/doc/654172/,case,2,C2_S9,0.96574,True,0.00010639,0.9678578181130648,5.90423e-05,0.942711287577992,5.07101e-05,0.9797693325770467,5.047e-05,14,39,7913
61,86594,"Renusagar Power Co. Ltd vs General Electric Co on 7 October, 1993",1993.0,https://indiankanoon.org/doc/86594/,case,2,C2_S10,0.964502,True,0.00010989,0.9695594630364909,4.82451e-05,0.9360937795424465,4.69805e-05,0.979013045944413,4.67843e-05,21,62,7913
76,181623893,"Mukri Gopalan vs Cheppilat Puthanpurayil Aboobacker on 12 July, 1995",1995.0,https://indiankanoon.org/doc/181623893/,case,2,C2_S24,0.959161,True,0.00013126,0.9761769710720363,6.69953e-05,0.9464927207411609,9.2934e-06,0.9487615806390622,9.0209e-06,13,78,7913
81,1450918,Icici Bank Ltd vs Sidco Leathers Ltd. & Ors,,https://indiankanoon.org/doc/1450918/,case,2,C2_S43,0.957137,True,0.00013606,0.9769332577046701,0.0001042852,0.9591605218377766,5.7244e-06,0.9330686330119116,5.3003e-06,54,7,7913
147,1664373,"Raptakos Brett And Co. Ltd vs Ganesh Property on 8 September, 1998",1998.0,https://indiankanoon.org/doc/1664373/,case,2,C2_S42,0.935148,True,0.00014944,0.9807146908678389,2.33852e-05,0.9109472490073738,1.9033e-06,0.9003592361505011,1.8082e-06,8,48,7913
155,1687638,"Miheer H. Mafatlal vs Mafatlal Industries Ltd on 11 September, 1996",1996.0,https://indiankanoon.org/doc/1687638/,case,2,C2_S2,0.931301,False,0.00059748,0.9994327850255247,1.74862e-05,0.9005483078086595,7.898e-07,0.8754017772735867,7.187e-07,6,18,7913
185,1961694,Union_Of_India_vs_A_L_Rallia_Ram_on_19_April_1963,1963.0,https://indiankanoon.org/doc/1961694/,case,2,C2_S9,0.920476,False,7.226e-05,0.9506522972206466,9.1118e-06,0.8778597088296465,3.4382e-06,0.9164303270939687,3.4012e-06,18,6,7913
219,1412888,"Kale & Others vs Deputy Director Of Consolidation Ors on 21 January, 1976",1976.0,https://indiankanoon.org/doc/1412888/,case,2,C2_S40,0.910333,False,3.453e-05,0.905464170920779,1.54848e-05,0.8958215163546984,4.4455e-06,0.9262620533182075,4.3825e-06,13,26,7913
233,739145,"Raj Kumar Dey And Others vs Tarapada Dey And Others on 14 September, 1987",1987.0,https://indiankanoon.org/doc/739145/,case,2,C2_S40,0.906882,False,4.448e-05,0.9215352618642465,3.7922e-06,0.8483645301569295,5.4459e-06,0.9319342030629608,5.4305e-06,6,15,7913
38,920363,Ghaziabad_Zila_Sahkari_Bank_Ltd_vs_Addl_Labour_Commissioner_Ors_on_17_January_2007,2007.0,https://indiankanoon.org/doc/920363/,case,3,C3,0.974239,True,0.00036954,0.9977311401020987,0.0009787817,0.9937606352807714,5.8671e-06,0.9334467763282284,5.7311e-06,134,23,1463
183,1271790,The_Jumma_Masjid_Mercara_vs_Kodimaniandra_Deviah_on_11_January_1962,1962.0,https://indiankanoon.org/doc/1271790/,case,3,C3,0.921398,False,0.00021902,0.9894119871431273,5.4757e-05,0.9406314993382492,1.451e-07,0.8299300434864814,1.375e-07,4,9,1463
221,1070258,The_Central_Bank_Of_India_Ltd_vs_P_S_Rajagopalan_Etc_on_19_April_1963,1963.0,https://indiankanoon.org/doc/1070258/,case,3,C3,0.909766,False,2.478e-05,0.8869351484212517,0.0002258727,0.9769332577046701,1.3056e-06,0.8878805067120439,1.2742e-06,5,3,1463
270,1270021,Kerala_State_Electricity_Board_Etc_vs_S_N_Govinda_Prabhu_Brothers_And_on_26_August_1986,1986.0,https://indiankanoon.org/doc/1270021/,case,3,C3,0.899764,False,5.37e-06,0.7990168273775761,6.5024e-05,0.9449801474758933,5.83033e-05,0.9826054074494234,5.82943e-05,4,26,1463
571,424137,"Graphite India Ltd. And Another vs Durgapur Projects Ltd. And Others on 27 August, 1999",1999.0,https://indiankanoon.org/doc/424137/,case,3,C3,0.807147,False,4.358e-05,0.9207789752316128,0.0,0.40669313669880885,1.59444e-05,0.9633200983172623,1.59444e-05,2,39,1463
572,1515069,"M.V. Elisabeth And Ors vs Harwan Investment And Trading Pvt. ... on 26 February, 1992",1992.0,https://indiankanoon.org/doc/1515069/,case,3,C3,0.806901,False,4.622e-05,0.9238041217621479,0.0,0.40669313669880885,1.34658e-05,0.9591605218377766,1.34658e-05,6,52,1463
603,762747,"Provash Chandra Dalui & Anr vs Biswanath Banerjee & Anr on 3 April, 1989",1989.0,https://indiankanoon.org/doc/762747/,case,3,C3,0.797088,False,0.00010695,0.9684250330875401,0.0,0.40669313669880885,9.502e-07,0.8801285687275477,9.502e-07,4,16,1463
896,228570,Waverly_Jute_Mills_Co_Ltd_vs_Raymon_Co_India_Private_Ltd_And_on_4_May_1964,1964.0,https://indiankanoon.org/doc/228570/,case,3,C3,0.741946,False,5.32e-06,0.7979769332577047,0.0,0.40669313669880885,3.5445e-06,0.9173756853847608,3.5445e-06,3,5,1463
923,916121,"Jiyajeerao Cotton Mills Limited And ... vs Madhya Pradesh Electricity Board And ... on 12 September, 1988",1988.0,https://indiankanoon.org/doc/916121/,case,3,C3,0.734808,False,1.075e-05,0.846473813575345,0.0,0.40669313669880885,2.176e-07,0.8415579504632256,2.176e-07,3,15,1463
961,157067,Kays_Construction_Co_P_Ltd_vs_State_Of_Uttar_Pradesh_And_Others_on_26_November_1964,1964.0,https://indiankanoon.org/doc/157067/,case,3,C3,0.724877,False,8.35e-06,0.8318207600680658,0.0,0.40669313669880885,1.451e-07,0.8299300434864814,1.451e-07,2,3,1463
3,1522913,Aloke Nath Dutta & Ors vs State Of West Bengal,,https://indiankanoon.org/doc/1522913/,case,4,C4_S15,0.993846,True,0.00030828,0.9962185668368312,0.0024374571,0.9981092834184155,8.85873e-05,0.9880884855360181,8.01763e-05,135,50,7289
7,667073,"Kehar Singh & Ors vs State (Delhi Admn.) on 3 August, 1988",1988.0,https://indiankanoon.org/doc/667073/,case,4,C4_S2,0.989885,True,0.00021695,0.9892229154849688,0.0004966035,0.9878994138778597,0.000119035,0.9920589903573455,0.0001173214,22,104,7289
15,1201493,Bachan_Singh_Etc_Etc_vs_State_Of_Punjab_Etc_Etc_on_16_August_1982,1982.0,https://indiankanoon.org/doc/1201493/,case,4,C4_S15,0.986434,True,0.00027084,0.9937606352807714,0.0001112483,0.9618075250519947,0.0002016707,0.9956513518623559,0.0002012868,29,7,7289
16,1813801,Kartar_Singh_vs_State_Of_Punjab_on_11_March_1994,1994.0,https://indiankanoon.org/doc/1813801/,case,4,C4_S2,0.985857,True,0.00010549,0.9671015314804311,0.0021513998,0.9979202117602571,0.0003805232,0.9986764983928909,0.0003730993,45,302,7289
19,1830927,Janata_Dal_vs_H_S_Chowdhary_And_Ors_on_28_August_1992,1992.0,https://indiankanoon.org/doc/1830927/,case,4,C4_S13,0.982445,True,0.00024485,0.9916808470410285,0.0001176181,0.9629419550009454,6.67086e-05,0.9858196256381169,6.63027e-05,28,71,7289
20,1353689,A_R_Antulay_vs_R_S_Nayak_Anr_on_29_April_1988,1988.0,https://indiankanoon.org/doc/1353689/,case,4,C4_S23,0.982218,True,0.00010345,0.9663452448477973,0.0004014226,0.9843070523728493,0.0003941886,0.9988655700510494,0.0003928034,58,153,7289
42,980208,"Central Bureau Of Investigation, ... vs Duncans Agro Industries Ltd.,Calcutta on 9 July, 1996",1996.0,https://indiankanoon.org/doc/980208/,case,4,C4_S13,0.973426,True,0.00034166,0.9971639251276234,4.32277e-05,0.9321232747211193,3.82538e-05,0.9757988277557195,3.81046e-05,15,25,7289
52,545301,Machhi_Singh_And_Others_vs_State_Of_Punjab_on_20_July_1983,1983.0,https://indiankanoon.org/doc/545301/,case,4,C4_S15,0.968425,True,0.00017471,0.9843070523728493,3.92251e-05,0.9287199848742673,4.66198e-05,0.978634902628096,4.64844e-05,36,1,7289
72,928322,"Ajay Agarwal vs Union Of India And Ors on 5 May, 1993",1993.0,https://indiankanoon.org/doc/928322/,case,4,C4_S2,0.960579,True,6.462e-05,0.944412932501418,0.0001794291,0.9720173945925505,2.47357e-05,0.9708829646435999,2.41166e-05,9,41,7289
73,1837051,"Jagmohan Singh vs The State Of U. P on 3 October, 1972",1972.0,https://indiankanoon.org/doc/1837051/,case,4,C4_S15,0.959766,True,6.824e-05,0.94781622234827,0.0001347834,0.9672906031385895,2.15383e-05,0.9680468897712233,2.10732e-05,18,21,7289
4,165105,Hindustan Petroleum Corpn. Ltd vs Darius Shapur Chenai & Ors,,https://indiankanoon.org/doc/165105/,case,5,C5_S3,0.992636,True,0.00062949,0.9996218566836831,0.0013833593,0.9960294951786727,5.62013e-05,0.9822272641331065,5.46673e-05,214,19,4132
31,1809461,Murari_Ors_vs_Union_Of_India_Ors_on_1_November_1996,1996.0,https://indiankanoon.org/doc/1809461/,case,5,C5_S2,0.976007,True,7.42e-05,0.9519757988277557,0.0004281895,0.9856305539799584,0.0002355315,0.996596710153148,0.0002350567,5,48,4132
32,689330,"Union Of India And Ors vs Filip Tiago De Gama Of Vedem Vasco De Gama on 30 November, 1989",1989.0,https://indiankanoon.org/doc/689330/,case,5,C5_S7,0.976007,True,0.00022695,0.9907354887502363,3.71267e-05,0.9262620533182075,0.0001851854,0.9947059935715636,0.0001851442,15,19,4132
44,1145726,"Union Of India & Ors vs Dhanwanti Devi & Ors on 21 August, 1996",1996.0,https://indiankanoon.org/doc/1145726/,case,5,C5_S19,0.972878,True,0.00040129,0.998298355076574,0.0001860371,0.9725846095670259,8.2345e-06,0.9440347891851012,8.0282e-06,9,27,4132
55,1806862,"Babua Ram And Ors vs State Of U.P. And Anr on 4 October, 1994",1994.0,https://indiankanoon.org/doc/1806862/,case,5,C5_S6,0.966374,True,0.00010592,0.967479674796748,5.24617e-05,0.9394970693892986,6.25035e-05,0.9843070523728493,6.24454e-05,3,68,4132
58,505842,Union of India v. Raghubir Singh,1989.0,https://indiankanoon.org/doc/505842/,case,5,C5_S7,0.965665,True,7.162e-05,0.9498960105880129,5.96201e-05,0.943089430894309,0.0006641851,0.9998109283418416,0.000664119,32,44,4132
63,20367,"Jage Ram And Ors vs State Of Haryana And Ors on 2 March, 1971",1971.0,https://indiankanoon.org/doc/20367/,case,5,C5_S3,0.963471,True,0.00016942,0.9833616940820571,0.0001339214,0.9665343165059558,6.9595e-06,0.9385517110985063,6.811e-06,7,16,4132
65,1536600,Smt_Somavanti_And_Others_vs_The_State_Of_Punjab_And_Others_And_on_2_May_1962,1962.0,https://indiankanoon.org/doc/1536600/,case,5,C5_S32,0.962829,True,0.0001063,0.9676687464549064,0.0001370056,0.9684250330875401,1.07394e-05,0.9532993004348648,1.05874e-05,15,8,4132
68,818638,"Union Of India (Uoi) vs Hari Krishan Khosla (Dead) By Lrs. on 16 September, 1992",1992.0,https://indiankanoon.org/doc/818638/,case,5,C5_S19,0.962469,True,0.00012437,0.9744753261486103,6.69895e-05,0.9463036490830025,1.40255e-05,0.9602949517867272,1.39512e-05,4,46,4132
69,501542,"Delhi Administration vs Gurdip Singh Uban And Ors. Etc on 18 August, 2000",2000.0,https://indiankanoon.org/doc/501542/,case,5,C5_S21,0.962337,True,0.00011394,0.9703157496691246,0.0003973971,0.9839289090565324,6.8149e-06,0.9377954244658726,6.3743e-06,11,24,4132
14,1938608,"Narmada Bachao Andolan Vs.

      Union  of India",2000.0,https://indiankanoon.org/doc/1938608/,case,6,C6,0.987474,True,0.00024563,0.991869918699187,0.0002893951,0.9809037625259973,8.08746e-05,0.9871431272452259,8.08408e-05,22,26,1341
21,764031,"A.P. Pollution Control Board vs Prof.M.V.Nayudu (Retd.) & Others on 27 January, 1999",1999.0,https://indiankanoon.org/doc/764031/,case,6,C6,0.982043,True,0.00023763,0.9913027037247116,0.0001406522,0.9690867838910947,5.23871e-05,0.9807146908678389,5.23706e-05,14,28,1341
22,1937304,"M.I. Builders Pvt. Ltd vs Radhey Shyam Sahu And Others on 26 July, 1999",1999.0,https://indiankanoon.org/doc/1937304/,case,6,C6,0.981584,True,0.00017662,0.9848742673473246,0.0001306945,0.9648326715825298,9.92186e-05,0.9897901304594441,9.92034e-05,14,77,1341
